condition,label,models,samples,initial,final,delta
generic,Global message,11,2640,0.6162833694083694,0.6851641414141414,0.06888077200577203
checklist,Checklist,11,2640,0.6162833694083694,0.704484577922078,0.0882012085137086
render,Renders*,9,2160,0.634824184303351,0.7543678350970018,0.11954365079365081
checklist_score,Checklist + score,11,2640,0.6162833694083694,0.7109713203463204,0.09468795093795102
checklist_items,Per-item verdicts,11,2640,0.6162833694083694,0.727252435064935,0.11096906565656561
checklist_items_render,Verdicts + renders*,9,2160,0.634824184303351,0.7731040564373898,0.1382798721340388
